objectID,title,artist,medium,department,culture,period,classification,imageURL
145412,Portrait of Hottō Enmyō Kokushi,NA,"Hinoki cypress wood with lacquer, metal staples and fittings",Japanese Art,"['Japan, Kamakura period (1185–1333)']",NA,Sculpture,NA
144743,A Hare and a Leg of Lamb,"Jean-Baptiste Oudry (French, 1686–1755)",oil on canvas,European Painting and Sculpture,"['France, 18th century']",NA,Painting,NA
137198,Jar with Lion-Head Handles,NA,porcelain with underglaze painted decoration,Chinese Art,"['China, Jiangxi province, Jingdezhen, Yuan dynasty (1271-1368)']",NA,Ceramic,NA
162292,Blind Man's Buff,"Louise Bourgeois (American, 1911–2010)",white marble on wooden base,Contemporary Art,['America'],NA,Sculpture,NA
135538,"Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364–1404)","Claus de Werve (Netherlandish, 1380–1439)",vizille alabaster,Medieval Art,"['Netherlands, active Dijon, 15th century']",NA,Sculpture,NA
141639,Twilight in the Wilderness,"Frederic Edwin Church (American, 1826–1900)",oil on canvas,American Painting and Sculpture,['America'],NA,Painting,NA
124245,La Vie,"Pablo Picasso (Spanish, 1881–1973)",oil on canvas,Modern European Painting and Sculpture,"['Spain, 20th century']",NA,Painting,NA
162292,Blind Man's Buff,"Louise Bourgeois (American, 1911–2010)",white marble on wooden base,Contemporary Art,['America'],NA,Sculpture,NA
111811,"Nataraja, Shiva as the Lord of Dance",NA,Bronze,Indian and Southeast Asian Art,"['South India, Tamil Nadu, Chola period (900-1200s)']",NA,Sculpture,NA
147066,"Bottle, Glass, Fork","Pablo Picasso (Spanish, 1881–1973)",oil on canvas,Modern European Painting and Sculpture,"['Spain, 20th century']",NA,Painting,NA
126758,The Dessert,"Pierre Bonnard (French, 1867–1947)",oil on fabric,Modern European Painting and Sculpture,"['France, 20th century']",NA,Painting,NA
172815,"Mount Starr King, Yosemite","Albert Bierstadt (American, 1830–1902)",oil on canvas on panel-back stretcher,American Painting and Sculpture,['America'],NA,Painting,NA
123985,The Wade Cup with Animated Script,NA,brass inlaid with silver,Islamic Art,"['Iran, Seljuq period of Iran (1037–1194)']",NA,Metalwork,NA
145412,Portrait of Hottō Enmyō Kokushi,NA,"Hinoki cypress wood with lacquer, metal staples and fittings",Japanese Art,"['Japan, Kamakura period (1185–1333)']",NA,Sculpture,NA
155860,The Young Eastern Woman,"Friedrich Amerling (Austrian, 1803–1887)",oil on fabric,Modern European Painting and Sculpture,"['Austria, 19th century']",NA,Painting,NA
131819,A Genoese Lady with Her Child,"Anthony van Dyck (Flemish, 1599–1641)",oil on canvas,European Painting and Sculpture,['Flanders'],NA,Painting,NA
103366,Elizabeth Beltzhoover Mason,"Gilbert Stuart (American, 1755–1828)",oil on canvas,American Painting and Sculpture,['America'],NA,Painting,NA
149112,Church Street El,"Charles Sheeler (American, 1883–1965)",oil on canvas,American Painting and Sculpture,['America'],NA,Painting,NA
283088,Icon of the New Testament Trinity,NA,Tempera and gold on wood panel (poplar),Medieval Art,"['Byzantium, Constantinople']",NA,Painting,NA
148021,Eleven-Headed Bodhisattva of Compassion (Avalokiteshvara),NA,gilt bronze with silver and copper inlay,Indian and Southeast Asian Art,['Western Himalayas'],NA,Sculpture,NA
155860,The Young Eastern Woman,"Friedrich Amerling (Austrian, 1803–1887)",oil on fabric,Modern European Painting and Sculpture,"['Austria, 19th century']",NA,Painting,NA
111811,"Nataraja, Shiva as the Lord of Dance",NA,Bronze,Indian and Southeast Asian Art,"['South India, Tamil Nadu, Chola period (900-1200s)']",NA,Sculpture,NA
283088,Icon of the New Testament Trinity,NA,Tempera and gold on wood panel (poplar),Medieval Art,"['Byzantium, Constantinople']",NA,Painting,NA
106841,Table Fountain,NA,gilt-silver and translucent enamels,Medieval Art,"['France, Paris']",NA,Metalwork,NA
125249,The Large Plane Trees (Road Menders at Saint-Rémy),"Vincent van Gogh (Dutch, 1853–1890)",oil on fabric,Modern European Painting and Sculpture,['Netherlands'],NA,Painting,NA
165157,Fulton and Nostrand,"Jacob Lawrence (American, 1917–2000)",tempera on Masonite,American Painting and Sculpture,['America'],NA,Painting,NA
