objectID,title,artist,medium,department,culture,period,classification,imageURL
185779,Train Landscape,Ellsworth Kelly,Oil on canvas; three joined panels,Contemporary Art,United States,1953,painting,"https://www.artic.edu/iiif/2/0e4128b8-7ec7-11e7-5eed-4e9ebc9aa0a4/full/843,/0/default.jpg"
27819,The Scullion,Augustin Théodule Ribot,Oil on canvas,Painting and Sculpture of Europe,France,c. 1865,oil on canvas,"https://www.artic.edu/iiif/2/efb0a0e1-9129-cac6-231a-b1e9ebff3766/full/843,/0/default.jpg"
13495,The Christ Child and Saint John the Baptist with Saint Francis,Follower of Peter Paul Rubens,Oil on canvas,Painting and Sculpture of Europe,Flanders,Date unknown,painting,"https://www.artic.edu/iiif/2/3908f916-b72f-a304-227a-3cee749a022e/full/843,/0/default.jpg"
153993,"Cliffs on the Sea Coast: Small Beach, Sunrise (Falaise au bord de la mer, vu Petite Plage, soleil levant)",Gustave Courbet,Oil on canvas,Painting and Sculpture of Europe,France,1865,oil on canvas,"https://www.artic.edu/iiif/2/29d3c6bc-7b53-d13f-a625-0490141c6f10/full/843,/0/default.jpg"
146861,Teardrop I,Magdalene Odundo,Terracotta and slip,Arts of Africa,United Kingdom,1996,ceramics,"https://www.artic.edu/iiif/2/e48bca32-a0ba-0d44-3963-d807fac14e6a/full/843,/0/default.jpg"
105798,Footed Tray from the Maria Theresa Service,Manufacture nationale de Sèvres,"Soft-paste porcelain, green ground, polychrome enamels, and gilding",Applied Arts of Europe,Sèvres,1757,tableware,"https://www.artic.edu/iiif/2/faf36d0c-4cd3-afa5-7df0-dd9a9b94139d/full/843,/0/default.jpg"
135736,Soup Plate from a service for Madame du Barry,Manufacture nationale de Sèvres,"Soft-paste porcelain, polychrome enamels, and gilding",Applied Arts of Europe,Sèvres,1771,"plate (general, dish)","https://www.artic.edu/iiif/2/f63e9566-f8ba-1526-29ac-4446d37edbc6/full/843,/0/default.jpg"
135712,Plate from the Rohan Service,Manufacture nationale de Sèvres,"Soft-paste porcelain, turquoise blue ground, polychrome enamels, and gilding",Applied Arts of Europe,Sèvres,1771–72,"plate (general, dish)","https://www.artic.edu/iiif/2/4b61267d-cb24-9165-bd2f-f753898abd2c/full/843,/0/default.jpg"
158412,Charcoal-Burnished Vessel,Magdalene Odundo,Ceramic and pigment,Arts of Africa,Kenya,1983,earthenware,"https://www.artic.edu/iiif/2/fb214f73-dcc2-178c-5953-e5186203b2a9/full/843,/0/default.jpg"
135738,Plate from the Charlotte Louise Service,Manufacture nationale de Sèvres,"Soft-paste porcelain, polychrome enamels, and gilding",Applied Arts of Europe,Sèvres,1774,"plate (general, dish)","https://www.artic.edu/iiif/2/f2f81f5b-2eb4-74ad-f203-ab45b5e63a36/full/843,/0/default.jpg"
