objectID,title,artist,medium,department,culture,period,classification,imageURL
383085,The Flower with Seven-Colored Petals,Valentin Petrovich Kataev,Commercial color process,Drawings and Prints,NA,NA,Books,NA
827490,From Tales of the Vikings by Ad-Trix Corp. (W500),NA,Commercial photolithograph,Drawings and Prints,NA,NA,Prints,NA
227367,Handkerchief,NA,Linen and bobbin lace,European Sculpture and Decorative Arts,NA,NA,Textiles-Laces,https://images.metmuseum.org/CRDImages/es/original/DP18341.jpg
222954,Apparel,NA,Silk and metal thread on velvet,European Sculpture and Decorative Arts,NA,NA,Textiles-Embroidered,https://images.metmuseum.org/CRDImages/es/original/163882.jpg
74346,"Shibai nendai ki: Hana no Edo kabuki. Vol. 6 (theater chronicle, the flowering of Edo 
Kabuki maiko chronology)",NA,Woodblock-printed book,Asian Art,Japan,NA,Illustrated Books,NA
194538,A prophet,Tiziano Minio,Bronze,European Sculpture and Decorative Arts,NA,NA,Sculpture-Bronze,https://images.metmuseum.org/CRDImages/es/original/DP-72-0001.jpg
6052,Plate,NA,Lacy pressed glass,The American Wing,American,NA,NA,https://images.metmuseum.org/CRDImages/ad/original/153270.jpg
736222,Finish the job,Anonymous,Commercial color lithograph,Drawings and Prints,NA,NA,Prints,NA
86031,Evening dress,Callot Soeurs,silk,Costume Institute,French,NA,NA,NA
504716,Alto valve trombone in E-flat,August Pollmann,"Brass, nickel, silver",Musical Instruments,American,NA,Aerophone-Lip Vibrated-trumpet / trombone,https://images.metmuseum.org/CRDImages/mi/original/211921.jpg
319067,Lidded Storage Basket,NA,"Ash splint, wood, pigment",The American Wing,Passamaquoddy (?),NA,NA,https://images.metmuseum.org/CRDImages/ad/original/DT259444.jpg
195665,Watch,Firm of Terond and Ravier,"Gold, enamel, silver, jewels",European Sculpture and Decorative Arts,NA,NA,Horology,https://images.metmuseum.org/CRDImages/es/original/66032.jpg
145316,Earrings,Giorgio di Sant'Angelo,"plastic, metal",Costume Institute,American,NA,NA,NA
491193,Sample,Louis A. Stirn,"Silk, printed",Modern and Contemporary Art,American,NA,Textiles-Printed,NA
417640,"Mde. Rosi, from the Actors and Actresses series (N45, Type 8) for Virginia Brights Cigarettes",Allen & Ginter,Albumen photograph,Drawings and Prints,NA,NA,Photographs,https://images.metmuseum.org/CRDImages/dp/original/DP831605.jpg
