objectID,title,artist,medium,department,culture,period,classification,imageURL
O220666,"Fragmentary bowl, fritware, painted outside with radial panelled ornament,Turkey (Kütahya), 18th century.",Unknown,"Fritware, polychrome painted, glazed",MES,Kütahya,18th century,Bowl,NA
O216099,"19thC, Frith F. Head of Kulu Valley, Rotang Pass 3261",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Kullu,1850s to 1870s,Photograph,NA
O218235,"Photograph of Henry Kemble, ca. late 19th to early 20th c. Guy Little Collection.",NA,Sepia photograph on paper,T&P,Great Britain,ca. late 19th century - early 20th century,Photograph,NA
O214974,"19thC, Frith, F. Calcutta, Grain Boats, Alipore Br. 4235",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Calcutta,1850s to 1870s,Photograph,NA
O221754,"Trade labels, Fruit labels",Unknown,"Various techniques, including colour letterpress, screenprint etc.",PDP,NA,ca. 1985-1995,Print,NA
O217422,"19thC, Frith F. ""Samson Hill"" [Cornwall] 2063",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,NA,1850s to 1870s,Photograph,NA
O215817,"19thC, Frith F. Grindelwald, Valley of the Lutschine 49",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Grindelwald,1850s to 1870s,Photograph,NA
O221646,Fashion design for Sonneti Autumn/Winter Collection 1997,Christian [Matthew] Brogi,"pencil, black ink, paper, drawing",PDP,Great Britain,1997,Drawing,NA
O216345,"Photograph by Robert Napper, 'Loja', Granada, albumen print, c. 1863","Napper, Robert P.",Whole-plate albumen print from wet collodion glass negative,PDP,Loja,ca. 1863-1870,Photograph,NA
O215637,"19thC, Frith F. Florence, Palazzio Podesta 2971",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Florence,1850s to 1870s,Photograph,NA
O215895,"19thC, Frith F. Hereford Cathedral 1161",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Hereford Cathedral,1850s to 1870s,Photograph,NA
O216073,"19thC, Frith F. Kingston Parade etc, Thames 3816",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Kingston upon Thames,1850s to 1870s,Photograph,NA
O212049,"Volume of sweet wrappers Redundant stockbooks (7) of sweet wrappers etc.,  from the confectionery company Mackintosh.",Unknown,,PDP,NA,NA,Print,NA
O217922,"19thC, Frith F. Ullswater, Patterdale 808",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Ullswater,1850s to 1870s,Photograph,NA
O217728,"19thC, Frith F. Stratford on Avon [Falcon Tavern] 3542",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,NA,1850s to 1870s,Photograph,NA
O220849,"Photograph of Adelaide Ristori as Maria Stuart, 19th c. Guy Little Collection",NA,Sepia photograph on paper,T&P,Great Britain,19th century,Photograph,NA
O220385,"Print by Elizabeth Anne Hunt, label for a tin of Safeway pear halves in syrup, offset lithography on coated paper, Great Britain, 1986",Elizabeth Hunt,Offset lithography on coated paper,PDP,Great Britain,1986,Print,NA
O215186,"19thC, Frith, F. Chartres Cathedral, Choir 3743",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Chartres,1850s to 1870s,Photograph,NA
O220558,Embroidery designs - cockerels,,"Pencil, watercolour and coloured chalk, on thin paper and tracing paper. ",PDP,NA,NA,Drawing,NA
O213088,Topographical photograph,Unknown,,PDP,NA,NA,Photograph,NA
O219176,"Poster printed by Druckerei Graetz, Auguststrasse, Berlin from the 'Europe Without Walls'  exhibition",Manfred Butzmann,Lithograph,PDP,NA,NA,Poster,NA
O216683,"19thC, Frith F. Netley Abbey 709",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Netley,1850s to 1870s,Photograph,NA
O219726,"Seed packet for Carters Tested Seeds Ltd., 'Gypsophila Elegans White', offset half tone print, Great Britain, ca.1935-1940 ",Unknown,Offset half tone print,PDP,Great Britain,ca. 1935-1940,Print,NA
O217485,"19thC, Frith F. Seville Cathedral 1317",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Seville,1850s to 1870s,Photograph,NA
O219310,"From an album of photographs, mostly albumen prints of the 1860's-1880's (250 photographs and 60 prints and a drawing) of topographical scenes of Britain and Europe. Anon. Edinburgh Castle, from an album, 1860-1880, albumen print",Unknown,Albumen print.,PDP,NA,1860-1880,Photograph,NA
O216909,"19thC, Frith F. Paris, Avenue Wagram 4080",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Paris,1850s to 1870s,Photograph,NA
O212895,Topographical photograph,Unknown,,PDP,NA,NA,Photograph,NA
O217744,"19thC, Frith F. Suez Canal, The Harbour 1791",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,NA,1850s to 1870s,Photograph,NA
O218367,"Dish of porcelain with moulded decoration and painting in underglaze blue, Arita, 1700-1800.",Unknown,Porcelain with moulded decoration and painting in underglaze blue,EAS,Arita,1700-1800,Dish,NA
O213215,Topographical photograph,Unknown,,PDP,NA,NA,Photograph,NA
O214526,"19thC, Frith, F. Bemsouef 1914",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Bani Suwayf (governorate),1850s to 1870s,Photograph,NA
O212922,Topographical photograph,Unknown,,PDP,NA,NA,Photograph,NA
O221114,"Photograph of Henry Irving as Mathias in <i>The Bells</i>, Lyceum Theatre, 1871, Guy Little Collection.",Unknown,Sepia photograph on paper,T&P,Great Britain,1871,Photograph,NA
O213994,Print - Plate 2 from the suite 'Six Variants' colour lithograph 1969,Josef Albers,Colour lithograph,PDP,USA,1969,Print,NA
O217209,"19thC, Frith F. Roche Percee, Tete Noire 198",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,NA,1850s to 1870s,Photograph,NA
O215572,"19thC, Frith F. Ely Cathedral, Choir West 3332",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Ely,1850s to 1870s,Photograph,NA
O218086,"19thC, Frith F. Westminster, Statue of Richard I 956",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,NA,1850s to 1870s,Photograph,NA
O221774,"Trade labels, Fruit labels",Unknown,"Various techniques, including colour letterpress, screenprint etc.",PDP,NA,ca. 1985-1995,Print,NA
O216575,"19thC, Frith F. ""Fungus"", Monsal Dale 2150",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Monsal Dale,1850s to 1870s,Photograph,NA
O215600,"19thC, Frith F. Exeter Cathedral, West Front 1136",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Exeter,1850s to 1870s,Photograph,NA
O214054,"Print - Formulation Articulation. A cloth-bound portfolio containing 33 prints. Printed by Sirocco Printers and published jointly by Ives-Sillmann, New Haven and Harry Abrams, New York.","Albers, Josef",Screenprints and colour screenprints on folded sheets,PDP,NA,1972,Print,NA
O220565,Embroidery designs - cockerels,,"Pencil, watercolour and coloured chalk, on thin paper and tracing paper. ",PDP,NA,NA,Drawing,NA
O218189,"19thC, Frith F. Viroconium, Wroxeter 2189",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,NA,1850s to 1870s,Photograph,NA
O219713,"Seed packet for Carters Tested Seeds Ltd., 'Calliopsis, Grandiflora', offset half tone print, Great Britain, ca.1935-1940 ",Unknown,Offset half tone print,PDP,Great Britain,ca. 1935-1940,Print,NA
O216044,"19thC, Frith F. Kew Bridge, River Thames 1662",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Kew,1850s to 1870s,Photograph,NA
O219765,"Seed packet for Carters Tested Seeds Ltd., 'Calendula, chrysantha', offset half tone print, Great Britain, ca.1935-1940 ",Unknown,Offset half tone print,PDP,Great Britain,ca. 1935-1940,Print,NA
O216644,"19thC, Frith F. Naples, St Elmo etc 2836",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Naples,1850s to 1870s,Photograph,NA
O212723,Topographical photograph,Unknown,,PDP,NA,NA,Photograph,NA
O219971,Sketchbook of plant studies,Ebeneezer Wake Cooke,,PDP,NA,NA,Drawing,NA
O215750,"19thC, Frith F. Gloucester Canal Basin 1500",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Gloucester,1850s to 1870s,Photograph,NA
O216363,"19thC, Frith F. London, Albert Memorial  3531",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,London,1850s to 1870s,Photograph,NA
O215048,"19thC, Frith, F. Canterbury Cathedral, South East 2816",Francis Frith,Whole-plate albumen print from wet collodion glass negative,PDP,Canterbury Cathedral,1850s to 1870s,Photograph,NA
