objectID,title,artist,medium,department,culture,period,classification,imageURL
220818,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on paper prepared with opaque watercolor,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/8c441c65-d81c-434f-9a3b-89004d5a15d1/full/843,/0/default.jpg"
220817,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/e337310d-474d-261d-d8e7-e3dec84addec/full/843,/0/default.jpg"
220815,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on gridded paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/8ab5ec4e-fd13-147f-e24f-88bf62feec14/full/843,/0/default.jpg"
220810,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/f621ebf4-2b37-1114-baae-6a4330745232/full/843,/0/default.jpg"
220807,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over ink on paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/98dc3483-666a-6c45-f5a7-281c3955b048/full/843,/0/default.jpg"
220806,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over grapite pencil on paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/05fa1c81-1515-a958-fee1-1c5eab392a15/full/843,/0/default.jpg"
220801,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/4c1ba4f5-5b42-300f-a8b7-5bfa63067595/full/843,/0/default.jpg"
220795,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/88b9c8ca-a067-e960-9e96-8ccf13779325/full/843,/0/default.jpg"
220793,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/078de207-8fde-bb3c-df16-0d3710b40aef/full/843,/0/default.jpg"
220790,Design fo    r Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/8077a53e-9774-4aee-ea96-bcf443705c57/full/843,/0/default.jpg"
220789,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/d0b14830-a109-44b8-096d-37d650ea15d7/full/843,/0/default.jpg"
220782,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on paper,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/6fc66542-97fe-bbb6-88be-17846772798a/full/843,/0/default.jpg"
229393,Untitled,Tanaka Atsuko,Enamel on canvas,Contemporary Art,,1964,painting,"https://www.artic.edu/iiif/2/e9611bae-b59f-02ce-276f-79fadca24b19/full/843,/0/default.jpg"
220774,Design for Printed Textile,Fredrica Justina Staack,Opaque watercolor over graphite on paper prepared with opaque watercolor,Textiles,France,1929/34,textile,"https://www.artic.edu/iiif/2/f88ab514-bf92-2e35-50af-00ab159ff82a/full/843,/0/default.jpg"
120544,Untitled,Pim Van Os,Gelatin silver print,Photography and Media,Netherlands,c. 1950,gelatin silver (developing-out-paper) pr,"https://www.artic.edu/iiif/2/ec55de59-b945-bc3d-cb85-3bafb82061ca/full/843,/0/default.jpg"
99543,Tazza,"Steuben Division, Corning Glass Works",Glass,Arts of the Americas,Corning,1918–30,drinking vessel,"https://www.artic.edu/iiif/2/4e3b1a62-68c4-86a0-c376-ebe9d2b4a2c2/full/843,/0/default.jpg"
59780,"Film Movement, Akeley Camera, New York",Paul Strand,Gelatin silver print,Photography and Media,United States,1922,gelatin silver (developing-out-paper) pr,"https://www.artic.edu/iiif/2/ccd07217-9f14-1a9a-6a8a-c037b9ade0a5/full/843,/0/default.jpg"
50119,Aerial Bombs Dropping on Montmedy,Edward Steichen,Gelatin silver print,Photography and Media,United States,1918,gelatin silver (developing-out-paper) pr,"https://www.artic.edu/iiif/2/41ae3139-84a2-d06e-0fc0-51cbeb66beb9/full/843,/0/default.jpg"
228399,"Proposed Motor Hotel, Dayton, Ohio, Perspective",Milton Meyer Schwartz,Graphite on paper,Architecture and Design,Dayton,c. 1963,presentation drawing,"https://www.artic.edu/iiif/2/916c36a1-557e-ae6e-faa8-42bd847a0e62/full/843,/0/default.jpg"
186309,Blue Vase on a Venetian Armchair,Henri Matisse,Colored pencils on ivory wove paper,Prints and Drawings,France,1943,prints and drawing,"https://www.artic.edu/iiif/2/e5bf9852-c0e0-eb42-88ad-7f748665ae38/full/843,/0/default.jpg"
180678,Matisse's Dining Room-1941,Henri Matisse,Pen and black ink on ivory wove paper,Prints and Drawings,France,1941,drawings (visual works),"https://www.artic.edu/iiif/2/88a897c2-dbd1-3fd9-c2f3-185c0e0f9487/full/843,/0/default.jpg"
117750,Head of a Woman,Henri Matisse,Pen and black ink on ivory wove paper,Prints and Drawings,France,1941,pen and ink drawings,"https://www.artic.edu/iiif/2/76e93675-66c8-63b2-2e1b-3dc0a0b5e163/full/843,/0/default.jpg"
100226,Daisies,Henri Matisse,Oil on canvas,Modern Art,France,1939,painting,"https://www.artic.edu/iiif/2/1693f1ff-40a4-e0e2-16cd-3d8d055dc266/full/843,/0/default.jpg"
30348,Abstract Figure,Oskar Schlemmer,Bronze and nickel,Modern Art,Germany,1921/23,sculpture,"https://www.artic.edu/iiif/2/2f984fe0-96da-72e3-f92b-9b9557827271/full/843,/0/default.jpg"
191565,Girl in Yellow and Blue with Guitar,Henri Matisse,Oil on canvas,Modern Art,,1939,painting,"https://www.artic.edu/iiif/2/0fc277a0-003c-393f-556b-f8dbc8c81427/full/843,/0/default.jpg"
186310,Anemones in a Vase (recto and verso),Henri Matisse,Pen and black ink on ivory wove paper,Prints and Drawings,France,1944,prints and drawing,"https://www.artic.edu/iiif/2/4ec6706d-1358-03ae-bb09-cf58c4553fd8/full/843,/0/default.jpg"
186308,"Study for Anemones and Woman (Study for “Odalisque, Harmony in Blue”)",Henri Matisse,Pen and black ink on ivory wove paper,Prints and Drawings,France,1937,prints and drawing,"https://www.artic.edu/iiif/2/834dc7c5-0df7-94d0-addd-84ed6137e013/full/843,/0/default.jpg"
186307,Seated Dancer,Henri Matisse,"Graphite, with touches of erasing, on ivory wove paper",Prints and Drawings,France,1927,prints and drawing,"https://www.artic.edu/iiif/2/5202b448-22a2-54e6-14b5-6d0f324caa13/full/843,/0/default.jpg"
