,objectID,title,artist,medium,department,culture,period,classification,imageURL,label
0,220818,1158,412,1423,25,165,375,373,4874,19
1,220817,1158,412,1422,25,165,375,373,6343,19
2,220815,1158,412,1421,25,165,375,373,4839,19
3,220810,1158,412,1422,25,165,375,373,6658,19
4,220807,1158,412,1425,25,165,375,373,5102,19
5,220806,1158,412,1424,25,165,375,373,2550,19
6,220801,1158,412,1422,25,165,375,373,3735,19
7,220795,1158,412,1422,25,165,375,373,4803,19
8,220793,1158,412,1422,25,165,375,373,2578,19
9,220790,1143,412,1422,25,165,375,373,4660,19
10,220789,1158,412,1422,25,165,375,373,6032,19
11,220782,1158,412,1422,25,165,375,373,4384,19
12,229393,4382,1163,546,9,535,455,321,6447,1
13,220774,1158,412,1423,25,165,375,373,6695,19
14,120544,4382,1014,693,22,357,1230,276,6502,15
15,99543,3833,1144,720,7,112,348,255,3779,4
16,59780,1446,971,693,22,492,359,276,5954,15
17,50119,88,335,693,22,492,346,276,3557,15
18,228399,3117,886,904,2,122,1247,335,4972,0
19,186309,459,524,430,23,165,411,337,6386,15
20,180678,2392,524,1477,23,165,409,254,4799,0
21,117750,1811,524,1477,23,165,409,324,4505,15
22,100226,1087,524,1392,18,165,403,321,2830,1
23,30348,73,948,235,18,177,357,349,3272,3
24,191565,1658,524,1392,18,535,403,321,2709,1
25,186310,142,524,1477,23,165,413,337,3788,15
26,186308,3746,524,1477,23,165,399,337,4707,15
27,186307,3377,524,994,23,165,371,337,3848,15
28,180677,1090,524,265,23,165,371,254,4240,0
29,153703,2208,524,1392,18,165,368,318,4562,26
30,110989,4749,524,993,23,165,374,281,4746,26
31,30906,3031,524,1973,23,165,380,230,2562,26
32,76314,3172,524,987,23,165,362,281,5201,26
33,61843,3391,524,1477,23,165,1187,324,4682,15
34,27984,4707,524,1392,18,165,358,321,6040,1
35,23096,3385,524,1974,23,165,1186,230,4975,26
36,7124,3384,524,231,18,165,360,218,5246,11
37,150815,3173,524,985,23,165,1176,281,4271,26
38,41010,1657,524,1503,23,165,349,324,2960,15
39,39271,3034,524,988,23,165,665,281,3529,26
40,27980,4709,524,1392,18,165,356,318,4218,26
41,2816,1971,524,1392,18,165,350,321,3013,1
42,180676,4744,524,804,23,165,1174,254,5620,0
43,122232,2182,524,1392,18,165,343,321,4440,1
44,18696,4714,524,986,23,165,1173,281,2923,26
45,210809,3047,524,609,23,165,337,262,3058,1
46,66915,1414,524,1479,23,165,332,324,5411,15
47,64001,187,524,1392,18,165,342,318,5525,26
48,53225,4743,524,268,23,165,1172,324,6072,15
